merchant_id,international_cid,domestic_cid,int_pct,approved_amount_sum_from_merchant,approved_transactions_count_from_merchant,active_days_since_aquisition_from_merchant,status,status_reason,status_1,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff,document_type_
10692069,58,34,63,31426,78,42,active,,approved,0,0,0,0,MEI,37,cnpj
12227678,22,120,15.5,3489.19,134,5,active,,approved,0,0,0,0,,,cpf
3307893,36,107,25.2,300085.49,148,79,active,,approved,0,0,0,0,LUCRO PRESUMIDO,120,cnpj
13614170,3,0,100,0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
11903928,15,1,93.8,10031.28,15,11,blocked,monitoring,blocked,0,0,0,0,,,cpf
6458241,69,232,22.9,20388.5,317,41,active,,approved,0,0,0,0,,,cpf
472887,440,2087,17.4,491384.34,2847,388,active,,approved,0,0,0,0,SIMPLES,62,cnpj
19817859,22,7,75.9,1680.03,32,8,blocked,monitoring,blocked,0,0,0,0,,,cpf
2631447,253,553,31.4,35620.74,787,118,active,,approved,0,0,0,0,,,cpf
11831197,140,914,13.3,52517.05,1454,111,active,,approved,0,0,0,0,MEI,22,cnpj
20571379,19,4,82.6,17488.84,10,6,active,,approved,0,0,0,0,SIMPLES,7,cnpj
14010359,4,2,66.7,0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
9780870,21,1,95.5,12368.88,16,11,active,,approved,0,0,0,0,,,cpf
6544957,189,234,44.7,94382,467,60,active,,approved,0,0,0,0,MEI,17,cnpj
10709858,53,410,11.4,19689.09,490,44,active,,approved,0,0,0,0,MEI,31,cnpj
12491582,9,27,25,682.58,34,2,active,,approved,0,0,0,0,,,cpf
12782925,11,10,52.4,988.98,4,1,blocked,monitoring,blocked,0,0,0,6,,,cpf
16459385,12,12,50,5124.53,19,7,active,,approved,0,0,0,0,,,cpf
10061291,4,2,66.7,0,0,0,blocked,monitoring,blocked,0,0,0,0,,,cpf
17334290,5,23,17.9,1582.47,21,10,blocked,monitoring,blocked,0,0,0,0,,,cpf
12277966,64,355,15.3,61378.09,1019,90,active,,approved,0,0,0,0,SIMPLES,31,cnpj
