user_id,status,status_reason,status_1,active_days_since_aquisition_from_merchant,approved_transactions_count_from_merchant,approved_amount_sum_from_merchant,cbk_tpv_ratio,total_billing_amount,total_chargebacks,paid_ratio,elo_frauds_reports,hiper_frauds_reports,master_frauds_reports,visa_frauds_reports,tax_regime_from_cnpj,months_diff
19924795,active,,approved,9,18,2671.9,,,,,0,0,0,0,,
13836448,blocked,monitoring,blocked,3,6,2942.0,,,,,0,0,0,0,,
10443459,active,,approved,40,78,40987.32,,,,,0,0,0,0,,
14788139,blocked,monitoring,blocked,1,10,231.02,,,,,0,0,0,0,,
19367281,blocked,monitoring,blocked,5,55,1393.5,,,,,0,0,0,0,,
13857320,active,,approved,16,21,11577.97,,,,,0,0,0,0,,
19345253,blocked,monitoring,blocked,1,10,1589.63,,,,,0,0,24,0,,
10012532,blocked,monitoring,blocked,1,4,117.2,,,,,0,0,0,0,,
12520754,active,,approved,12,19,8792.03,,,,,0,0,0,0,,
12627017,active,,approved,67,202,33658.5,,,,,0,0,0,0,,
18974786,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
14010359,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
17334290,blocked,monitoring,blocked,10,21,1582.47,,,,,0,0,0,0,,
11934528,blocked,monitoring,blocked,4,9,2361.4900000000002,,,,,0,0,0,0,,
11157292,active,,approved,1,1,60.0,,,,,0,0,3,0,,
4923965,active,,approved,45,234,12525.05,,,,,0,0,0,0,,
19504666,blocked,monitoring,blocked,2,5,3737.0,,,,,0,0,0,0,,
12130206,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
10526528,active,,approved,52,231,33284.31,,,,,0,0,0,0,,
10026948,active,,approved,42,86,34491.46,,,,,0,0,0,0,,
13635122,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
9770874,blocked,monitoring,blocked,1,10,2167.42,,,,,0,0,0,0,,
10686822,blocked,monitoring,blocked,2,3,2801.0,,,,,0,0,0,0,,
6458241,active,,approved,39,292,19145.5,,,,,0,0,0,0,,
21718367,blocked,monitoring,blocked,2,5,517.13,,,,,0,0,0,0,,
7343142,blocked,monitoring,blocked,19,44,10150.63,,,,,0,0,0,0,,
17155065,blocked,monitoring,blocked,1,9,424.65,,,,,0,0,12,0,,
14182175,active,,approved,13,23,2643.36,,,,,0,0,0,0,,
5854342,blocked,monitoring,blocked,8,14,8862.58,,,,,0,0,0,0,,
11580403,blocked,monitoring,blocked,4,11,4667.0,,,,,0,0,0,0,,
13094533,active,,approved,17,21,20833.079999999998,,,,,0,0,0,0,,
11245244,blocked,monitoring,blocked,11,13,8774.23,,,,,0,0,0,0,,
14834879,active,,approved,53,120,12558.94,,,,,0,0,3,0,,
9680210,blocked,monitoring,blocked,9,17,3555.91,,,,,0,0,0,0,,
13568641,blocked,monitoring,blocked,3,8,2277.41,,,,,0,0,0,0,,
17739950,active,,approved,8,634,15904.43,,,,,0,0,0,0,,
16058414,blocked,monitoring,blocked,3,29,6941.4800000000005,,,,,0,0,48,48,,
7410032,active,,approved,8,336,6833.67,,,,,0,0,0,0,,
14682850,blocked,monitoring,blocked,6,21,10915.1,,,,,0,0,0,0,,
14006080,active,,approved,1,3,4500.0,,,,,0,0,0,0,,
11903928,blocked,monitoring,blocked,11,15,10031.28,,,,,0,0,0,0,,
10072678,active,,approved,90,221,38935.81,,,,,0,0,0,0,,
4884483,active,,approved,5,37,1289.69,,,,,0,0,0,0,,
10545026,blocked,monitoring,blocked,1,2,71.98,,,,,0,0,0,0,,
12739816,active,,approved,11,454,9394.67,,,,,0,0,0,0,,
6186200,active,,approved,33,231,9349.0,,,,,0,0,0,0,,
13304837,active,,approved,4,134,4172.47,,,,,0,0,0,0,,
15528977,blocked,monitoring,blocked,8,9,6979.0,,,,,0,0,0,0,,
14355799,inactive,legal_shift,inactive,30,55,18172.0,,,,,0,0,0,0,,
11038365,blocked,monitoring,blocked,28,33,9612.6,,,,,0,0,0,6,,
14957269,blocked,monitoring,blocked,4,14,6359.29,,,,,0,0,6,0,,
10933727,active,,approved,15,118,8781.21,,,,,0,0,0,0,,
6871945,active,,approved,2,19,869.64,,,,,0,0,0,0,,
10523056,blocked,monitoring,blocked,3,16,6950.49,,,,,0,0,0,24,,
12245525,active,,approved,10,15,1309.3899999999999,,,,,0,0,0,0,,
7708524,active,,approved,27,229,7898.05,,,,,0,0,0,0,,
13313079,blocked,monitoring,blocked,0,0,0.0,,,,,0,0,0,0,,
15581486,blocked,monitoring,blocked,3,10,2370.38,,,,,0,0,0,0,,
